参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
流通股本,流通股本,,int64,输出参数,stock_info_bj_name_code; stock_value_em,股票数据,,2,2,,
涨跌停板幅度,涨跌停板幅度,,float64,输出参数,futures_rule; futures_foreign_detail,期货数据,,2,2,,
滚动市盈率,滚动市盈率,,float64,输出参数,stock_index_pe_lg; stock_zh_index_hist_csindex,股票数据; 指数数据,14.93,2,2,,
澳元-净仓位,澳元净仓位,,float64,输出参数,macro_usa_cftc_nc_holding; macro_usa_cftc_merchant_currency_holding,美国宏观数据,0.0,2,2,,
炸板次数,炸板次数,,int64,输出参数,stock_zt_pool_em; stock_zt_pool_zbgc_em,股票数据,1,2,2,,
玉米-净仓位,玉米净仓位,,float64,输出参数,macro_usa_cftc_c_holding; macro_usa_cftc_merchant_goods_holding,美国宏观数据,29050.0,2,2,,
环比指数,环比指数,,float64,输出参数,index_price_cflp; index_volume_cflp,中国指数数据,1000.00,2,2,,
现货价格,现货价格,,float64,输出参数,index_sugar_msweet; futures_spot_sys,中国指数数据; 期货数据,,2,2,,
现金分红-现金分红比例,现金分红现金分红比例,,float64,输出参数,stock_fhps_em; stock_fhps_detail_em,股票数据,,2,2,,
现金分红-股息率,现金分红股息率,,float64,输出参数,stock_fhps_em; stock_fhps_detail_em,股票数据,,2,2,,
申购上限,申购上限,,int64,输出参数,stock_xgsglb_em; bond_zh_cov,股票数据; 债券数据,,2,2,,
登记编号,登记编号,,object,输出参数,amac_manager_info; amac_manager_classify_info,中国基金数据,,2,2,,
目标价,目标价,,str,输出参数,stock_institute_recommend_detail; stock_hk_profit_forecast_et,股票数据,,2,2,,
科创板,科创板,,object,输出参数,stock_sse_summary; stock_sse_deal_daily,股票数据,413.63,2,2,,
等权市净率,等权市净率,,float64,输出参数,stock_market_pb_lg; stock_index_pb_lg,股票数据,2.57,2,2,,
累积购买额,累积购买额,,float64,输出参数,stock_lhb_ggtj_sina; stock_lhb_yytj_sina,股票数据,171289.25,2,2,,
累计分红,累计分红,,float64,输出参数,fund_etf_dividend_sina; fund_fh_rank_em,基金数据,0.024,2,2,,
累计换手率,累计换手率,,float64,输出参数,stock_rank_ljqs_ths; stock_rank_ljqd_ths,股票数据,6.77,2,2,,
纽约原油-多头仓位,纽约原油多头仓位,,float64,输出参数,macro_usa_cftc_c_holding; macro_usa_cftc_merchant_goods_holding,美国宏观数据,0.0,2,2,,
结束后持有,结束后持有,,float64,输出参数,stock_hold_management_detail_em; stock_hold_management_person_em,股票数据,74350.0,2,2,,
统计年度,统计年度,,object,输出参数,macro_china_international_tourism_fx; macro_china_passenger_load_factor,中国宏观数据,2019,2,2,,
统计次数,统计次数,,int64,输出参数,stock_gdfx_free_holding_statistics_em; stock_gdfx_holding_statistics_em,股票数据,,2,2,,
缴款日,缴款日,,object,输出参数,bond_treasure_issue_cninfo; bond_local_government_issue_cninfo,债券数据,,2,2,,
网上发行,网上发行,,int64,输出参数,stock_xgsglb_em; stock_qbzf_em,股票数据,,2,2,,
美元-多头仓位,美元多头仓位,,float64,输出参数,macro_usa_cftc_nc_holding; macro_usa_cftc_merchant_currency_holding,美国宏观数据,0.0,2,2,,
联系电话,联系电话,,object,输出参数,stock_hk_company_profile_em; stock_profile_cninfo,股票数据,,2,2,,
股东户数-上次,股东户数上次,,int64,输出参数,stock_zh_a_gdhs; stock_zh_a_gdhs_detail_em,股票数据,,2,2,,
股东户数-增减,股东户数增减,,int64,输出参数,stock_zh_a_gdhs; stock_zh_a_gdhs_detail_em,股票数据,,2,2,,
股东户数-增减比例,股东户数增减比例,,float64,输出参数,stock_zh_a_gdhs; stock_zh_a_gdhs_detail_em,股票数据,,2,2,,
股东户数-本次,股东户数本次,,int64,输出参数,stock_zh_a_gdhs; stock_zh_a_gdhs_detail_em,股票数据,,2,2,,
股东排名,股东排名,,object,输出参数,stock_gdfx_holding_detail_em; stock_yzxdr_em,股票数据,6,2,2,,
股东权益合计,股东权益合计,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,1.160939e+10,2,2,,
股份类型,股份类型,,object,输出参数,stock_gdfx_free_top_10_em; stock_gdfx_top_10_em,股票数据,,2,2,,
股本性质,股本性质,,object,输出参数,stock_circulate_stock_holder; stock_main_stock_holder,股票数据,国有股,2,2,,
股票,股票,,object,输出参数,stock_sse_summary; stock_sse_deal_daily,股票数据,40403.47,2,2,,
股票交易额,股票交易额,,float64,输出参数,stock_szse_area_summary,股票数据,5.951120e+12,2,1,,
董监高人员姓名,董监高人员姓名,,object,输出参数,stock_hold_management_detail_em; stock_hold_management_person_em,股票数据,,2,2,,
董监高姓名,董监高姓名,,object,输出参数,stock_share_hold_change_szse; stock_hold_management_detail_cninfo,股票数据,凌斌,2,2,,
董监高职务,董监高职务,,object,输出参数,stock_hold_management_detail_cninfo; stock_inner_trade_xq,股票数据,,2,2,,
行业-涨跌幅,行业涨跌幅,,float64,输出参数,stock_fund_flow_concept; stock_fund_flow_industry,股票数据,,2,2,,
行业指数,行业指数,,float64,输出参数,stock_fund_flow_concept; stock_fund_flow_industry,股票数据,,2,2,,
解禁前20日涨跌幅,解禁前20日涨跌幅,,float64,输出参数,stock_restricted_release_detail_em; stock_restricted_release_queue_em,股票数据,3.866432,2,2,,
解禁前一交易日收盘价,解禁前一交易日收盘价,,float64,输出参数,stock_restricted_release_detail_em; stock_restricted_release_queue_em,股票数据,5.98,2,2,,
解禁后20日涨跌幅,解禁后20日涨跌幅,,float64,输出参数,stock_restricted_release_detail_em; stock_restricted_release_queue_em,股票数据,1.18,2,2,,
计划发行量,计划发行量,,float64,输出参数,bond_zh_cov_info_ths; macro_china_bond_public,债券数据; 中国宏观数据,,2,2,,
证券类型,证券类型,,object,输出参数,stock_hk_security_profile_em; stock_yjkb_em,股票数据,,2,2,,
评级日期,评级日期,,str,输出参数,stock_institute_recommend_detail; stock_esg_msci_sina,股票数据,2020-05-27,2,2,,
评级机构,评级机构,,str,输出参数,stock_institute_recommend_detail; stock_esg_rate_sina,股票数据,国海证券,2,2,,
负债-应付账款,负债应付账款,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
负债-总负债,负债总负债,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
负债-总负债同比,负债总负债同比,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
负债-预收账款,负债预收账款,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
财政年度,财政年度,,object,输出参数,stock_hk_dividend_payout_em; stock_hk_profit_forecast_et,股票数据,2024,2,2,,
费用,费用,,float64,输出参数,fund_fee_em; fund_individual_detail_info_xq,基金数据,,2,2,,
费用类型,费用类型,,object,输出参数,fund_fee_em; fund_individual_detail_info_xq,基金数据,,2,2,,
资产-存货,资产存货,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
资产-应收账款,资产应收账款,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
资产-总资产,资产总资产,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
资产-总资产同比,资产总资产同比,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
资产-货币资金,资产货币资金,,float64,输出参数,stock_zcfz_em; stock_zcfz_bj_em,股票数据,,2,2,,
跟踪标的,跟踪标的,,object,输出参数,fund_info_index_em; fund_overview_em,基金数据,沪深指数,2,2,,
转增,转增,,object,输出参数,news_trade_notify_dividend_baidu; stock_history_dividend_detail,股票数据,-,2,2,,
转股代码,转股代码,,object,输出参数,bond_cov_issue_cninfo; bond_cov_stock_issue_cninfo,债券数据,,2,2,,
转股价格,转股价格,,float64,输出参数,bond_zh_cov_info_ths; bond_cov_stock_issue_cninfo,债券数据,0.00,2,2,,
达到平仓线比例,达到平仓线比例,,float64,输出参数,stock_gpzy_distribute_statistics_company_em; stock_gpzy_distribute_statistics_bank_em,股票数据,0.201427,2,2,,
达到预警线未达平仓线比例,达到预警线未达平仓线比例,,float64,输出参数,stock_gpzy_distribute_statistics_company_em; stock_gpzy_distribute_statistics_bank_em,股票数据,0.045202,2,2,,
运作状态,运作状态,,object,输出参数,amac_securities_info; amac_futures_info,中国基金数据,正在运作,2,2,,
近1个月涨跌幅,近1个月涨跌幅,,float64,输出参数,stock_lhb_stock_statistic_em; stock_lhb_jgstatistic_em,股票数据,39.940828,2,2,,
近3个月涨跌幅,近3个月涨跌幅,,float64,输出参数,stock_lhb_stock_statistic_em; stock_lhb_jgstatistic_em,股票数据,-8.274079,2,2,,
近6个月涨跌幅,近6个月涨跌幅,,float64,输出参数,stock_lhb_stock_statistic_em; stock_lhb_jgstatistic_em,股票数据,7.744875,2,2,,
送股,送股,,object,输出参数,news_trade_notify_dividend_baidu; stock_history_dividend_detail,股票数据,-,2,2,,
送转股份-转股比例,送转股份转股比例,,float64,输出参数,stock_fhps_em; stock_fhps_detail_em,股票数据,,2,2,,
送转股份-送转总比例,送转股份送转总比例,,float64,输出参数,stock_fhps_em; stock_fhps_detail_em,股票数据,,2,2,,
配对日期,配对日期,,object,输出参数,futures_delivery_match_dce; futures_delivery_match_czce,期货数据,2014-01-02,2,2,,
配股前总股本,配股前总股本,,float64,输出参数,stock_allotment_cninfo; stock_pg_em,股票数据,,2,2,,
配股后总股本,配股后总股本,,float64,输出参数,stock_allotment_cninfo; stock_pg_em,股票数据,,2,2,,
配股比例,配股比例,,float64,输出参数,stock_allotment_cninfo; stock_pg_em,股票数据,,2,2,,
重要性,重要性,,int64,输出参数,macro_info_ws; news_economic_baidu,宏观数据,,2,2,,
销售净利率(%),销售净利率,,object,输出参数,stock_hk_financial_indicator_em; stock_financial_analysis_indicator,股票数据,2.270029,2,2,,
销售毛利率,销售毛利率,,float64,输出参数,stock_yjbb_em; stock_financial_analysis_indicator,股票数据,10.287193,2,2,,
锁定期,锁定期,,int64,输出参数,stock_restricted_release_stockholder_em; stock_qbzf_em,股票数据,36,2,2,,
阶段涨幅,阶段涨幅,,float64,输出参数,stock_rank_ljqs_ths; stock_rank_ljqd_ths,股票数据,14.51,2,2,,
除净日,除净日,,object,输出参数,stock_hk_dividend_payout_em; stock_hk_fhpx_detail_ths,股票数据,,2,2,,
除权日,除权日,,object,输出参数,news_trade_notify_dividend_baidu; stock_dividend_cninfo,股票数据,2025-11-26,2,2,,
静态市盈率-中位数,静态市盈率中位数,,float64,输出参数,stock_industry_pe_ratio_cninfo; stock_index_pe_lg,股票数据,15.75,2,2,,
项目,项目,,object,输出参数,stock_sse_summary; stock_board_concept_info_ths,股票数据,流通股本,2,2,,
预期,预期,,float64,输出参数,macro_info_ws; news_economic_baidu,宏观数据,,2,2,,
预案公告日,预案公告日,,object,输出参数,stock_fhps_em; stock_fhps_detail_em,股票数据,,2,2,,
领涨股票,领涨股票,,object,输出参数,stock_board_concept_name_em; stock_board_industry_name_em,股票数据,庄园牧场,2,2,,
领涨股票-涨跌幅,领涨股票涨跌幅,,float64,输出参数,stock_board_concept_name_em; stock_board_industry_name_em,股票数据,10.04,2,2,,
首日收盘价,首日收盘价,,float64,输出参数,stock_xgsr_ths; stock_xgsglb_em,股票数据,,2,2,,
首次封板时间,首次封板时间,,object,输出参数,stock_zt_pool_em; stock_zt_pool_zbgc_em,股票数据,,2,2,,
龙虎榜买入额,龙虎榜买入额,,float64,输出参数,stock_lhb_detail_em; stock_lhb_stock_statistic_em,股票数据,,2,2,,
龙虎榜净买额,龙虎榜净买额,,float64,输出参数,stock_lhb_detail_em; stock_lhb_stock_statistic_em,股票数据,,2,2,,
龙虎榜卖出额,龙虎榜卖出额,,float64,输出参数,stock_lhb_detail_em; stock_lhb_stock_statistic_em,股票数据,,2,2,,
龙虎榜成交金额,龙虎榜成交金额,,float64,输出参数,stock_lhb_jgstatistic_em; stock_lhb_traderstatistic_em,股票数据,,2,2,,
1-2年以内其它应收款(元),12年以内其它应收款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
1-2年以内应收帐款(元),12年以内应收帐款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
1-2年以内预付货款(元),12年以内预付货款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
100日元/人民币_中间价,100日元人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据,,1,1,,
100日元/人民币_涨跌幅,100日元人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据,,1,1,,
10Y,10Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据,2.5000,1,1,,
10年,10年,,float64,输出参数,bond_china_yield,中国债券数据,4.1465,1,1,,
10日后涨跌幅,10日后涨跌幅,,float64,输出参数,stock_lhb_yyb_detail_em,股票数据,-18.448276,1,1,,
10日排行榜-10日排名,10日排行榜10日排名,,int64,输出参数,stock_main_fund_flow,股票数据,10,1,1,,
10日排行榜-10日涨跌,10日排行榜10日涨跌,,float64,输出参数,stock_main_fund_flow,股票数据,7.77,1,1,,
10日排行榜-主力净占比,10日排行榜主力净占比,,float64,输出参数,stock_main_fund_flow,股票数据,,1,1,,
12个月均线,12个月均线,,float64,输出参数,index_hog_spot_price,期货数据,,1,1,,
12个月收益率,12个月收益率,,float64,输出参数,stock_analyst_rank_em,股票数据,,1,1,,
1M,1M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据,,1,1,,
1Tick平今收益率,1Tick平今收益率,Tick,object,输出参数,futures_fees_info,期货数据,-0.147%,1,1,,
1Tick平今盈亏,1Tick平今盈亏,Tick,float64,输出参数,futures_fees_info,期货数据,,1,1,,
1Tick平仓收益率,1Tick平仓收益率,Tick,object,输出参数,futures_fees_info,期货数据,,1,1,,
1Tick平仓盈亏,1Tick平仓盈亏,Tick,float64,输出参数,futures_fees_info,期货数据,,1,1,,
1Y,1Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据,,1,1,,
1年,1年,,float64,输出参数,bond_china_yield,中国债券数据,,1,1,,
1年以内其它应收款(元),1年以内其它应收款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
1年以内应收帐款(元),1年以内应收帐款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
1年以内预付货款(元),1年以内预付货款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
1手平今费用,1手平今费用,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
1手平仓费用,1手平仓费用,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
1手开仓费用,1手开仓费用,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
1日后涨跌幅,1日后涨跌幅,,float64,输出参数,stock_lhb_yyb_detail_em,股票数据,,1,1,,
2-3年以内其它应收款(元),23年以内其它应收款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
2-3年以内应收帐款(元),23年以内应收帐款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
2-3年以内预付货款(元),23年以内预付货款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
2024-盈利预测-市盈率,2024盈利预测市盈率,,float64,输出参数,stock_research_report_em,股票数据,,1,1,,
2024-盈利预测-收益,2024盈利预测收益,,float64,输出参数,stock_research_report_em,股票数据,,1,1,,
2025-盈利预测-市盈率,2025盈利预测市盈率,,float64,输出参数,stock_research_report_em,股票数据,,1,1,,
2025-盈利预测-收益,2025盈利预测收益,,float64,输出参数,stock_research_report_em,股票数据,,1,1,,
2026-盈利预测-市盈率,2026盈利预测市盈率,,float64,输出参数,stock_research_report_em,股票数据,,1,1,,
2026-盈利预测-收益,2026盈利预测收益,,float64,输出参数,stock_research_report_em,股票数据,,1,1,,
20日后涨跌幅,20日后涨跌幅,,float64,输出参数,stock_lhb_yyb_detail_em,股票数据,,1,1,,
2Tick平今收益率,2Tick平今收益率,Tick,object,输出参数,futures_fees_info,期货数据,-0.049%,1,1,,
2Tick平今盈亏,2Tick平今盈亏,Tick,float64,输出参数,futures_fees_info,期货数据,,1,1,,
2Tick平仓收益率,2Tick平仓收益率,Tick,object,输出参数,futures_fees_info,期货数据,,1,1,,
2Tick平仓盈亏,2Tick平仓盈亏,Tick,float64,输出参数,futures_fees_info,期货数据,,1,1,,
2Y,2Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据,,1,1,,
2日后涨跌幅,2日后涨跌幅,,float64,输出参数,stock_lhb_yyb_detail_em,股票数据,,1,1,,
30年,30年,,float64,输出参数,bond_china_yield,中国债券数据,,1,1,,
30日后涨跌幅,30日后涨跌幅,,float64,输出参数,stock_lhb_yyb_detail_em,股票数据,,1,1,,
3M,3M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据,,1,1,,
3Y,3Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据,,1,1,,
3个月收益率,3个月收益率,,float64,输出参数,stock_analyst_rank_em,股票数据,,1,1,,
3年,3年,,float64,输出参数,bond_china_yield,中国债券数据,,1,1,,
3年以内其它应收款(元),3年以内其它应收款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
3年以内应收帐款(元),3年以内应收帐款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
3年以内预付货款(元),3年以内预付货款元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,,1,1,,
3日后涨跌幅,3日后涨跌幅,,float64,输出参数,stock_lhb_yyb_detail_em,股票数据,,1,1,,
3月,3月,,float64,输出参数,bond_china_yield,中国债券数据,3.2000,1,1,,
4Y,4Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据,2.1375,1,1,,
4个月均线,4个月均线,,float64,输出参数,index_hog_spot_price,期货数据,,1,1,,
5Y,5Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据,2.1652,1,1,,
5年,5年,,float64,输出参数,bond_china_yield,中国债券数据,,1,1,,
5年期评级-5年评级,5年期评级5年评级,,float64,输出参数,fund_rating_sh,基金数据,,1,1,,
5年期评级-较上期,5年期评级较上期,,float64,输出参数,fund_rating_sh,基金数据,,1,1,,
5日后涨跌幅,5日后涨跌幅,,float64,输出参数,stock_lhb_yyb_detail_em,股票数据,,1,1,,
5日平均参与意愿,5日平均参与意愿,,float64,输出参数,stock_comment_detail_scrd_desire_em,股票数据,51.41,1,1,,
5日平均变化,5日平均变化,,float64,输出参数,stock_comment_detail_scrd_desire_em,股票数据,-4.04,1,1,,
5日排行榜-5日排名,5日排行榜5日排名,,int64,输出参数,stock_main_fund_flow,股票数据,,1,1,,
5日排行榜-5日涨跌,5日排行榜5日涨跌,,float64,输出参数,stock_main_fund_flow,股票数据,,1,1,,
5日排行榜-主力净占比,5日排行榜主力净占比,,float64,输出参数,stock_main_fund_flow,股票数据,,1,1,,
5星评级家数,5星评级家数,,int64,输出参数,fund_rating_all,基金数据,,1,1,,
6M,6M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据,,1,1,,
6个月均线,6个月均线,,float64,输出参数,index_hog_spot_price,期货数据,,1,1,,
6个月收益率,6个月收益率,,float64,输出参数,stock_analyst_rank_em,股票数据,,1,1,,
6月,6月,,float64,输出参数,bond_china_yield,中国债券数据,,1,1,,
70成本-低,70成本低,,float64,输出参数,stock_cyq_em,股票数据,11.36,1,1,,
70成本-高,70成本高,,float64,输出参数,stock_cyq_em,股票数据,12.87,1,1,,
70集中度,70集中度,,float64,输出参数,stock_cyq_em,股票数据,0.062519,1,1,,
7Y,7Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据,2.5000,1,1,,
7年,7年,,float64,输出参数,bond_china_yield,中国债券数据,3.9929,1,1,,
7日年化收益率,7日年化收益率,,float64,输出参数,fund_money_fund_info_em,基金数据,3.485,1,1,,
90成本-低,90成本低,,float64,输出参数,stock_cyq_em,股票数据,11.23,1,1,,
90成本-高,90成本高,,float64,输出参数,stock_cyq_em,股票数据,,1,1,,
90集中度,90集中度,,float64,输出参数,stock_cyq_em,股票数据,0.081965,1,1,,
9M,9M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据,,1,1,,
ACCOUNTING_STANDARDS,ACCOUNTING_STANDARDS,ACCOUNTING_STANDARDS,object,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
ACCOUNTS_RECE_TDAYS,ACCOUNTS_RECE_TDAYS,ACCOUNTS_RECE_TDAYS,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
ACCOUNTS_RECE_TR,ACCOUNTS_RECE_TR,ACCOUNTS_RECE_TR,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
AI策略指数,AI策略指数,AI,float64,输出参数,index_ai_cx,指数数据,100.002000,1,1,,
A股-涨跌幅,A股涨跌幅,A,float64,输出参数,stock_zh_ah_spot_em,股票数据,8.92,1,1,,
A股上市日期,A股上市日期,A,object,输出参数,stock_info_sz_name_code,股票数据,1991-04-03,1,1,,
A股名称,A股名称,A,object,输出参数,stock_zh_ab_comparison_em,股票数据,飞亚达,1,1,,
A股总股本,A股总股本,A,object,输出参数,stock_info_sz_name_code,股票数据,"19,405,918,198",1,1,,
A股最低综合股价指数-上海,A股最低综合股价指数上海,A,float64,输出参数,macro_china_stock_market_cap,宏观数据,2896.7572,1,1,,
A股最低综合股价指数-深圳,A股最低综合股价指数深圳,A,float64,输出参数,macro_china_stock_market_cap,宏观数据,2032.0920,1,1,,
A股最高综合股价指数-上海,A股最高综合股价指数上海,A,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
A股最高综合股价指数-深圳,A股最高综合股价指数深圳,A,float64,输出参数,macro_china_stock_market_cap,宏观数据,,1,1,,
A股流通股本,A股流通股本,A,object,输出参数,stock_info_sz_name_code,股票数据,"19,405,513,424",1,1,,
A股股权登记日,A股股权登记日,A,object,输出参数,stock_fhps_detail_ths,股票数据,,1,1,,
A股质押总比例,A股质押总比例,A,float64,输出参数,stock_gpzy_profile_em,股票数据,6.731948,1,1,,
A股除权除息日,A股除权除息日,A,object,输出参数,stock_fhps_detail_ths,股票数据,,1,1,,
BASIC_EPS_YOY,BASIC_EPS_YOY,BASIC_EPS_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
B股名称,B股名称,B,object,输出参数,stock_zh_ab_comparison_em,股票数据,飞亚达Ｂ,1,1,,
B股简称,B股简称,B,object,输出参数,stock_profile_cninfo,股票数据,,1,1,,
CHZZL,CHZZL,CHZZL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
CHZZTS,CHZZTS,CHZZTS,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
CLOSE,CLOSE,CLOSE,float64,输出参数,futures_settlement_price_sgx,期货数据,,1,1,,
COM,COM,COM,object,输出参数,futures_settlement_price_sgx,期货数据,1MF,1,1,,
COMEX{symbol}库存量-吨,COMEXsymbol库存量吨,COMEX,float64,输出参数,futures_comex_inventory,期货数据,,1,1,,
COMEX{symbol}库存量-盎司,COMEXsymbol库存量盎司,COMEX,float64,输出参数,futures_comex_inventory,期货数据,,1,1,,
COM_MM,COM_MM,COM_MM,int64,输出参数,futures_settlement_price_sgx,期货数据,11,1,1,,
COM_YY,COM_YY,COM_YY,int64,输出参数,futures_settlement_price_sgx,期货数据,2023,1,1,,
CQBL,CQBL,CQBL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
CURRENTDEBT_DEBT,CURRENTDEBT_DEBT,CURRENTDEBT_DEBT,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
CURRENT_RATIO_YOY,CURRENT_RATIO_YOY,CURRENT_RATIO_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,17.325422,1,1,,
DATE,DATE,DATE,int64,输出参数,futures_settlement_price_sgx,期货数据,20231107,1,1,,
DATE_TYPE,DATE_TYPE,DATE_TYPE,object,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
DEBT_ASSET_RATIO_YOY,DEBT_ASSET_RATIO_YOY,DEBT_ASSET_RATIO_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
E-MAIL,EMAIL,E,object,输出参数,stock_hk_company_profile_em,股票数据,,1,1,,
EPSJB,EPSJB,EPSJB,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
EPSKCJB,EPSKCJB,EPSKCJB,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
EPSXS,EPSXS,EPSXS,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
EPS_TTM,EPS_TTM,EPS_TTM,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
EQUITY_RATIO,EQUITY_RATIO,EQUITY_RATIO,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
ESG等级,ESG等级,ESG,object,输出参数,stock_esg_hz_sina,股票数据,,1,1,,
ESG评分日期,ESG评分日期,ESG,object,输出参数,stock_esg_rft_sina,股票数据,2024-03-23,1,1,,
ETF类型,ETF类型,ETF,object,输出参数,fund_etf_scale_sse,基金数据,单市,1,1,,
EV/EBITDA-24A,EVEBITDA24A,EV,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,12.503574,1,1,,
FINANCIAL_DATE,FINANCIAL_DATE,FINANCIAL_DATE,object,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
GDP,GDP,GDP,float64,输出参数,stock_buffett_index_lg,股票数据,161840.16,1,1,,
GROSS_PROFIT_QOQ,GROSS_PROFIT_QOQ,GROSS_PROFIT_QOQ,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
GROSS_PROFIT_RATIO_YOY,GROSS_PROFIT_RATIO_YOY,GROSS_PROFIT_RATIO_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
HIGH,HIGH,HIGH,float64,输出参数,futures_settlement_price_sgx,期货数据,,1,1,,
HOLDER_PROFIT,HOLDER_PROFIT,HOLDER_PROFIT,int64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
HOLDER_PROFIT_QOQ,HOLDER_PROFIT_QOQ,HOLDER_PROFIT_QOQ,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
HOLDER_PROFIT_YOY,HOLDER_PROFIT_YOY,HOLDER_PROFIT_YOY,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
HRCI国际集装箱租船指数,HRCI国际集装箱租船指数,HRCI,float64,输出参数,macro_china_freight_index,中国宏观数据,,1,1,,
H股-涨跌幅,H股涨跌幅,H,float64,输出参数,stock_zh_ah_spot_em,股票数据,4.27,1,1,,
H股简称,H股简称,H,object,输出参数,stock_profile_cninfo,股票数据,,1,1,,
INVENTORY_TDAYS,INVENTORY_TDAYS,INVENTORY_TDAYS,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
INVENTORY_TR,INVENTORY_TR,INVENTORY_TR,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
IOPV实时估值,IOPV实时估值,IOPV,float64,输出参数,fund_etf_spot_em,基金数据,,1,1,,
ISIN（国际证券识别编码）,ISIN国际证券识别编码,ISIN,object,输出参数,stock_hk_security_profile_em,股票数据,...,1,1,,
IS_CNY_CODE,IS_CNY_CODE,IS_CNY_CODE,int64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,0,1,1,,
ITEM_NAME,ITEM_NAME,ITEM_NAME,object,输出参数,stock_financial_us_report_em,股票数据,现金及现金等价物,1,1,,
