参数名,参数英文名,类型,参数类型,接口名,接口类型
商品,,object,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_trade_balance,欧洲宏观数据
商品,,object,输出参数,macro_euro_current_account_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_manufacturing_pmi,欧洲宏观数据
商品,,object,输出参数,macro_euro_services_pmi,欧洲宏观数据
商品,,object,输出参数,macro_euro_zew_economic_sentiment,欧洲宏观数据
商品,,object,输出参数,macro_euro_sentix_investor_confidence,欧洲宏观数据
商品,,object,输出参数,macro_cons_gold,其他宏观数据
商品,,object,输出参数,macro_cons_silver,其他宏观数据
固定电话用,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
固定电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
国内生产总值-同比增长,,float64,输出参数,macro_china_gdp,中国宏观数据
国内生产总值-绝对值,,float64,输出参数,macro_china_gdp,中国宏观数据
国外负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
国外资产,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
国家外汇储备,,float64,输出参数,macro_china_foreign_exchange_gold,中国宏观数据
国家外汇储备-同比,,float64,输出参数,macro_china_fx_gold,中国宏观数据
国家外汇储备-数值,,float64,输出参数,macro_china_fx_gold,中国宏观数据
国家外汇储备-环比,,float64,输出参数,macro_china_fx_gold,中国宏观数据
地区,,object,输出参数,macro_info_ws,其他宏观数据
地区,,object,输出参数,news_economic_baidu,其他宏观数据
地方政府,,float64,输出参数,macro_cnbs,中国宏观数据
城乡居民生活用电量合计,,float64,输出参数,macro_china_society_electricity,中国宏观数据
城乡居民生活用电量合计同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
城市,,object,输出参数,macro_china_new_house_price,中国宏观数据
城市-同比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
城市-当月,,float64,输出参数,macro_china_cpi,中国宏观数据
城市-环比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
城市-累计,,float64,输出参数,macro_china_cpi,中国宏观数据
城市住宅电话用户,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城市住宅电话用户同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城市电话用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城市电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城镇居民用电量,,float64,输出参数,macro_china_society_electricity,中国宏观数据
城镇居民用电量同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
增发募集资金,,float64,输出参数,macro_stock_finance,其他宏观数据
